nct_id,diverse
NCT01936389,Non-race specific
NCT01937754,Non-race specific
NCT01938547,Non-race specific
NCT01938963,Non-race specific
NCT01939496,Non-race specific
NCT01939990,Non-race specific
NCT01942395,Non-race specific
NCT01947673,Non-race specific
NCT01948518,Non-race specific
NCT01951950,Non-race specific
NCT01952119,Non-race specific
NCT01952743,Non-race specific
NCT01952925,Non-race specific
NCT01956942,Non-race specific
NCT01956994,Non-race specific
NCT01959997,Non-race specific
NCT01960153,Non-race specific
NCT01960335,Non-race specific
NCT01960465,Non-race specific
NCT01960946,Non-race specific
NCT01961323,Non-race specific
NCT01961453,Non-race specific
NCT01965106,Non-race specific
NCT01965847,Non-race specific
NCT01966302,Non-race specific
NCT01968785,Non-race specific
NCT01968876,Non-race specific
NCT01972139,Non-race specific
NCT01973556,Non-race specific
NCT01974570,Non-race specific
NCT01975428,Non-race specific
NCT01977495,Non-race specific
NCT01977859,Non-race specific
NCT01980979,Non-race specific
NCT01983462,Non-race specific
NCT01983813,Non-race specific
NCT01984164,Non-race specific
NCT01994408,Non-race specific
NCT01995812,Non-race specific
NCT01996449,Non-race specific
NCT02001051,Non-race specific
NCT02003469,Non-race specific
NCT02006849,Non-race specific
NCT02007629,Non-race specific
NCT02008097,Non-race specific
NCT02011685,Non-race specific
NCT02014142,Non-race specific
NCT02014597,Non-race specific
NCT02016898,Non-race specific
NCT02018809,Non-race specific
NCT02023242,Non-race specific
NCT02024386,Non-race specific
NCT02024399,Non-race specific
NCT02024464,Non-race specific
NCT02025426,Non-race specific
NCT02027272,Non-race specific
NCT02029989,Non-race specific
NCT02030314,Non-race specific
NCT02030886,Non-race specific
NCT02031380,Non-race specific
NCT02034422,Non-race specific
NCT02035566,Non-race specific
NCT02036307,Non-race specific
NCT02036541,Non-race specific
NCT02036970,Non-race specific
NCT02038179,Non-race specific
NCT02044471,Non-race specific
NCT02046395,Non-race specific
NCT02046473,Non-race specific
NCT02047656,Non-race specific
NCT02051946,Non-race specific
NCT02053246,Non-race specific
NCT02053571,Non-race specific
NCT02056626,Non-race specific
NCT02057575,Non-race specific
NCT02059135,Non-race specific
NCT02059278,Non-race specific
NCT02059408,Non-race specific
NCT02059811,Non-race specific
NCT02059928,Non-race specific
NCT02060487,Non-race specific
NCT02060981,Non-race specific
NCT02063165,Non-race specific
NCT02064764,Non-race specific
NCT02066649,Non-race specific
NCT02067013,Non-race specific
NCT02068872,Non-race specific
NCT02069015,Non-race specific
NCT02070991,Non-race specific
NCT02077218,Non-race specific
NCT02080533,Non-race specific
NCT02083289,Non-race specific
NCT02087293,Non-race specific
NCT02089217,Non-race specific
NCT02090777,Non-race specific
NCT02091362,Non-race specific
NCT02097719,Non-race specific
NCT02099513,Non-race specific
NCT02099578,Non-race specific
NCT02100462,Non-race specific
NCT02102243,Non-race specific
NCT02102750,Non-race specific
NCT02104375,Non-race specific
NCT02108743,Non-race specific
NCT02110381,Non-race specific
NCT02111980,Non-race specific
NCT02112825,Non-race specific
NCT02116335,Non-race specific
NCT02119429,Non-race specific
NCT02120339,Non-race specific
NCT02121041,Non-race specific
NCT02125331,Non-race specific
NCT02129673,Non-race specific
NCT02130687,Non-race specific
NCT02133352,Non-race specific
NCT02133872,Non-race specific
NCT02133885,Non-race specific
NCT02136758,Non-race specific
NCT02136940,Non-race specific
NCT02137408,Non-race specific
NCT02138825,Non-race specific
NCT02139787,Non-race specific
NCT02142881,Non-race specific
NCT02143778,Non-race specific
NCT02143817,Non-race specific
NCT02143843,Non-race specific
NCT02147626,Non-race specific
NCT02148458,Non-race specific
NCT02148523,Non-race specific
NCT02152774,Non-race specific
NCT02154100,Non-race specific
NCT02154412,Non-race specific
NCT02157025,Non-race specific
NCT02167035,Non-race specific
NCT02167464,Non-race specific
NCT02168309,Non-race specific
NCT02169752,Non-race specific
NCT02173223,Non-race specific
NCT02174991,Non-race specific
NCT02178098,Non-race specific
NCT02179008,Non-race specific
NCT02180841,Non-race specific
NCT02181062,Non-race specific
NCT02182830,African American
NCT02185417,Non-race specific
NCT02191137,Non-race specific
NCT02194465,Non-race specific
NCT02198144,African American
NCT02207491,Non-race specific
NCT02207621,Non-race specific
NCT02208674,Non-race specific
NCT02210767,Non-race specific
NCT02213094,Non-race specific
NCT02213575,Non-race specific
NCT02214459,Non-race specific
NCT02215408,Non-race specific
NCT02217683,Non-race specific
NCT02220634,Non-race specific
NCT02221830,Non-race specific
NCT02224365,Non-race specific
NCT02230683,Non-race specific
NCT02230891,Non-race specific
NCT02232126,Non-race specific
NCT02232165,Non-race specific
NCT02232880,Non-race specific
NCT02233088,Non-race specific
NCT02234063,African American
NCT02234141,Non-race specific
NCT02235454,Non-race specific
NCT02235896,African American
NCT02235909,Non-race specific
NCT02236520,African American
NCT02245230,Non-race specific
NCT02246764,Non-race specific
NCT02247804,Non-race specific
NCT02250612,Non-race specific
NCT02250651,Non-race specific
NCT02251834,Hispanic
NCT02253394,Non-race specific
NCT02259049,Non-race specific
NCT02259634,Non-race specific
NCT02261883,Non-race specific
NCT02266394,Non-race specific
NCT02267577,Non-race specific
NCT02276872,Non-race specific
NCT02278471,Non-race specific
NCT02279160,Non-race specific
NCT02279745,Non-race specific
NCT02285634,Non-race specific
NCT02293096,Non-race specific
NCT02299193,Non-race specific
NCT02299388,Non-race specific
NCT02299414,Non-race specific
NCT02300818,Non-race specific
NCT02301455,Non-race specific
NCT02302612,Non-race specific
NCT02304705,Non-race specific
NCT02305550,Non-race specific
NCT02306122,Non-race specific
NCT02307565,Non-race specific
NCT02310672,Non-race specific
NCT02312544,Non-race specific
NCT02319174,Non-race specific
NCT02321618,African American
NCT02327312,Non-race specific
NCT02342808,Non-race specific
NCT02347670,Non-race specific
NCT02353806,Non-race specific
NCT02357004,Non-race specific
NCT02357017,Non-race specific
NCT02358369,Non-race specific
NCT02360787,Non-race specific
NCT02362737,African American
NCT02366065,Non-race specific
NCT02371018,Non-race specific
NCT02371317,Non-race specific
NCT02371746,Non-race specific
NCT02372955,Non-race specific
NCT02373241,Non-race specific
NCT02375009,Non-race specific
NCT02375737,Non-race specific
NCT02382016,Non-race specific
NCT02386293,African American
NCT02386540,Non-race specific
NCT02390245,Non-race specific
NCT02390284,Non-race specific
NCT02392351,Non-race specific
NCT02396823,Non-race specific
NCT02397902,Non-race specific
NCT02401776,Non-race specific
NCT02404597,Non-race specific
NCT02406586,Non-race specific
NCT02411006,Non-race specific
NCT02411032,Non-race specific
NCT02412696,Non-race specific
NCT02412761,Non-race specific
NCT02417246,Non-race specific
NCT02417415,Non-race specific
NCT02418091,Non-race specific
NCT02418637,Non-race specific
NCT02419508,Non-race specific
NCT02424695,Non-race specific
NCT02425566,Non-race specific
NCT02427594,Non-race specific
NCT02431936,African American
NCT02432339,Non-race specific
NCT02436512,Non-race specific
NCT02439749,Non-race specific
NCT02439775,Non-race specific
NCT02444689,Non-race specific
NCT02444767,Non-race specific
NCT02447770,Non-race specific
NCT02447783,Non-race specific
NCT02450760,Non-race specific
NCT02450773,Non-race specific
NCT02451059,Non-race specific
NCT02452125,Non-race specific
NCT02452749,Non-race specific
NCT02454660,Non-race specific
NCT02457871,African American
NCT02462967,Non-race specific
NCT02463084,Non-race specific
NCT02466399,Non-race specific
NCT02467894,Non-race specific
NCT02471183,Non-race specific
NCT02471833,African American
NCT02475577,Non-race specific
NCT02489019,Non-race specific
NCT02489045,Non-race specific
NCT02496728,Non-race specific
NCT02507011,Non-race specific
NCT02507687,Non-race specific
NCT02508129,Non-race specific
NCT02508298,Non-race specific
NCT02512042,Non-race specific
NCT02512276,Non-race specific
NCT02513823,African American
NCT02513914,Non-race specific
NCT02515331,Non-race specific
NCT02517671,Non-race specific
NCT02517697,Non-race specific
NCT02524431,Non-race specific
NCT02526680,Non-race specific
NCT02531152,Non-race specific
NCT02537015,Non-race specific
NCT02546726,Non-race specific
NCT02551640,Non-race specific
NCT02553265,Non-race specific
NCT02553720,Non-race specific
NCT02554903,Non-race specific
NCT02556749,Non-race specific
NCT02558231,Non-race specific
NCT02558374,Non-race specific
NCT02558400,Non-race specific
NCT02565173,Non-race specific
NCT02566317,Non-race specific
NCT02572414,African American
NCT02585765,Non-race specific
NCT02587325,Non-race specific
NCT02587936,Non-race specific
NCT02589977,Non-race specific
NCT02591173,Non-race specific
NCT02591394,Non-race specific
NCT02591628,Non-race specific
NCT02593032,Non-race specific
NCT02593305,Non-race specific
NCT02596087,Non-race specific
NCT02599727,Non-race specific
NCT02603068,Non-race specific
NCT02603809,Non-race specific
NCT02609204,Non-race specific
NCT02612389,Non-race specific
NCT02613533,Non-race specific
NCT02620709,Non-race specific
NCT02621008,Non-race specific
NCT02622178,Non-race specific
NCT02622256,Non-race specific
NCT02622282,Hispanic
NCT02622334,Non-race specific
